name,category,country,description,folder,status
TableFever,Reservations,BE,Independent restaurant reservation platform — last known independent BE reservation SaaS after Tablebooker/Resengo absorbed by Zenchef (research lead),tablefever,
OrderBilly,B2B Ordering,BE,Belgian B2B foodservice ordering platform — acquired Smartendr 2025; real BE equivalent of invalid OrderGrid entry (research lead),orderbilly,
orderbird,Restaurant POS,DE,"Cloud POS for DACH gastronomy — acquired by Nexi Group May 2022 for ~€130M; ""Garmondo"" entity unconfirmed; off-market",orderbird,
Gastrofix,POS/Restaurant,DE,Cloud POS — acquired by Lightspeed Jan 2020 for $61M–$125M; now Lightspeed Restaurant G-Series; off-market,gastrofix,
kassensysteme.de,POS System,DE,POS and cash register systems for gastronomy,kassensysteme.de,
Sonnen PC,POS System,DE,POS for hotels and gastronomy,sonnen-pc,
Reservix,Ticketing/Events,DE,Event ticketing and table reservation for restaurants,reservix,
Siveco,Hotel PMS,DE,Hotel property management software (DACH market leader),siveco,
HotelPARTNER,Revenue Management,CH,Revenue management service for hotels — Swiss HQ (not Munich); ~500 DACH+UK hotels,hotelpartner,
Aareon,PropTech (NOT HORECA),DE,CLASSIFICATION ERROR — Aareon is a major real estate PropTech company (PE-backed by Advent); not a gastronomy software company,aareon,
Orderbird,POS System,DE,Tablet-based POS for restaurants — acquired by Nexi Group (not SumUp) May 2022 for ~€130M; off-market,orderbird,
Systor,Hospitality IT,DE,IT solutions for hotels and gastronomy,systor,
Fabella,Restaurant Software,DE,Digital menu and ordering platform,fabella,
GASTROpoint,POS System,DE,POS for gastronomy and events,gastropoint,
myRES,Reservations,DE,Online table reservation system,myres,
Apfelroute,Restaurant Software,DE,Restaurant management and delivery,apfelroute,
Schnell ein Tisch,Reservations,DE,Last-minute restaurant booking platform,schnell-ein-tisch,
PAUL (IndustryArena),Restaurant,DE,Restaurant ordering and payment at the table,paul-industryarena,
Gastroglück,Restaurant Software,DE,Digital guest management for gastronomy,gastroglück,
FoodNotify,F&B Procurement,AT,"F&B procurement platform (NOT guest feedback; NOT Hamburg) — Austrian company, Vienna HQ",foodnotify,
BrewUp,Brewery Software,DE,ERP for breweries and beverage logistics,brewup,
Kassensysteme TSE,POS System,DE,TSE-certified cash registers for hospitality,kassensysteme-tse,
Epos Now,POS/Restaurant,UK,Cloud EPOS for hospitality and retail (growing PE-backed),epos-now,
Zonal,Restaurant POS,UK,Leading UK hospitality platform — acquired by Volaris/Constellation Feb 2026; off-market,zonal,
Access Hospitality (Access Group),PMS/Restaurant,UK,Hospitality management suite — PE-backed (Hg + TA Associates); acquired Guestline 2023 + Omnifi 2021,access-hospitality-access-group,
Fourth,Workforce/F&B,UK,Workforce and inventory management for hospitality (PE-backed),fourth,
Tenzo,Analytics,UK,AI-powered operations analytics for restaurants,tenzo,
Kafoodle,Menu/Allergens,UK,Digital menu and allergen management — acquired by 365 Retail Markets Apr 2023; off-market,kafoodle,
Omnifi,Guest WiFi,UK,Guest WiFi and marketing — acquired by Access Group 2021; off-market,omnifi,
Revel Systems,POS System,US,iPad POS (US HQ) — acquired by Shift4 Payments Mar 2024; off-market,revel-systems,
Slerp,Online Ordering,UK,Dark kitchen and multi-brand ordering platform,slerp,
Beambox,Guest WiFi,UK,Guest WiFi and marketing automation for hospitality,beambox,
KitchenCut,Kitchen,UK,Kitchen display system and order management,kitchencut,
Guestline,Hotel PMS,UK,Cloud hotel PMS — acquired by Access Group Jul 2023; off-market,guestline,
eviivo,Hotel PMS,UK,Boutique hotel and B&B management — PE-backed (Investcorp); not acquirable,eviivo,
RotaGeek (4home),Workforce,UK,Staff scheduling for hospitality — acquired by ELMO Group Jun 2025; off-market,rotageek-4home,
TiPJAR,Gratuities/Digital Tips,UK,Digital tipping platform for hospitality,tipjar,
Lighthouse (v3 - ex OTA Insight),Revenue/Data,UK,Hotel revenue intelligence platform,lighthouse-v3---ex-ota-insight,
SiteMinder,Hotel PMS/Distribution,UK,"Hotel distribution and channel manager (AU HQ, UK office)",siteminder,
SevenRooms,Reservations/CRM,US,Guest engagement platform (US HQ) — acquired by DoorDash May 2025 for $1.2B; off-market,sevenrooms,
